mode,asset,instrument,kind,sector,selection,reference_date,reference_usd,multiple,target_usd,horizon,question,replicate,p
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",20,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",21,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",22,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",23,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",24,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",25,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",26,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",27,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",28,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",29,0.35
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",30,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",31,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",32,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",33,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",34,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",35,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",36,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",37,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",38,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",39,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",40,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",41,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",42,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",43,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",44,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",45,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",46,0.34
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",47,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",48,0.35
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",49,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",50,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",51,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",52,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",53,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",54,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",55,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",56,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",57,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",58,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",59,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",60,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",61,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",62,0.35
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",63,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",64,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",65,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",66,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",67,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",68,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",69,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",70,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",71,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",72,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",73,0.34
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",74,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",75,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",76,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",77,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",78,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",79,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",80,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",81,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",82,0.35
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",83,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",84,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",85,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",86,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",87,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",88,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",89,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",90,0.35
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",91,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",92,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",93,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",94,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",95,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",96,0.35
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",97,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",98,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",99,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,2035,"AMC Entertainment will reach $5.40 per share by December 31, 2035",100,0.35
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,1,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,2,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,3,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,4,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,5,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,6,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,7,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,8,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,9,0.36
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,10,0.41
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,11,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,12,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,13,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,14,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,15,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,16,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,17,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,18,0.39
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,19,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,20,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,21,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,22,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,23,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,24,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,25,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,26,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,27,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,28,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,29,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,30,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,31,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,32,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,33,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,34,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,35,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,36,0.39
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,37,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,38,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,39,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,40,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,41,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,42,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,43,0.39
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,44,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,45,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,46,0.4
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,47,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,48,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,49,0.37
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,50,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,51,0.38
blank,AMC,AMC Entertainment,stock,Meme-stock probe,User-requested meme-stock probe,2026-09-20,2.7,2,5.4,no_date,AMC Entertainment will reach $5.40 per share,52,0.38
