criteria_mode,target_usd,target_words,year,question,replicate,p
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",26,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",27,0.52
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",28,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",29,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",30,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",31,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",32,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",33,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",34,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",35,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",36,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",37,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",38,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",39,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",40,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",41,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",42,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",43,0.52
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",44,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",45,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",46,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",47,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",48,0.52
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",49,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",50,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",51,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",52,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",53,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",54,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",55,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",56,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",57,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",58,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",59,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",60,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",61,0.48
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",62,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",63,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",64,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",65,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",66,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",67,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",68,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",69,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",70,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",71,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",72,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",73,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",74,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",75,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",76,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",77,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",78,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",79,0.48
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",80,0.52
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",81,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",82,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",83,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",84,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",85,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",86,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",87,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",88,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",89,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",90,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",91,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",92,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",93,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",94,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",95,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",96,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",97,0.49
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",98,0.51
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",99,0.5
blank,50000,50 thousand,2026,"bitcoin will reach 50 thousand by December 31, 2026",100,0.5
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",1,0.42
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",2,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",3,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",4,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",5,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",6,0.42
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",7,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",8,0.46
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",9,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",10,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",11,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",12,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",13,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",14,0.46
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",15,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",16,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",17,0.46
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",18,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",19,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",20,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",21,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",22,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",23,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",24,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",25,0.46
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",26,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",27,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",28,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",29,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",30,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",31,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",32,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",33,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",34,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",35,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",36,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",37,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",38,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",39,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",40,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",41,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",42,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",43,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",44,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",45,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",46,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",47,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",48,0.46
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",49,0.42
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",50,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",51,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",52,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",53,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",54,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",55,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",56,0.46
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",57,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",58,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",59,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",60,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",61,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",62,0.42
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",63,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",64,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",65,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",66,0.46
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",67,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",68,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",69,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",70,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",71,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",72,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",73,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",74,0.46
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",75,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",76,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",77,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",78,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",79,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",80,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",81,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",82,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",83,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",84,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",85,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",86,0.46
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",87,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",88,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",89,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",90,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",91,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",92,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",93,0.42
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",94,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",95,0.43
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",96,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",97,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",98,0.44
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",99,0.45
blank,100000,100 thousand,2026,"bitcoin will reach 100 thousand by December 31, 2026",100,0.44
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",1,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",2,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",3,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",4,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",5,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",6,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",7,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",8,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",9,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",10,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",11,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",12,0.34
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",13,0.34
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",14,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",15,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",16,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",17,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",18,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",19,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",20,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",21,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",22,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",23,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",24,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",25,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",26,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",27,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",28,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",29,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",30,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",31,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",32,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",33,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",34,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",35,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",36,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",37,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",38,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",39,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",40,0.34
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",41,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",42,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",43,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",44,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",45,0.3
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",46,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",47,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",48,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",49,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",50,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",51,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",52,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",53,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",54,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",55,0.3
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",56,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",57,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",58,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",59,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",60,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",61,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",62,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",63,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",64,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",65,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",66,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",67,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",68,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",69,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",70,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",71,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",72,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",73,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",74,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",75,0.3
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",76,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",77,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",78,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",79,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",80,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",81,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",82,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",83,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",84,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",85,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",86,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",87,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",88,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",89,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",90,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",91,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",92,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",93,0.31
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",94,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",95,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",96,0.33
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",97,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",98,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",99,0.32
blank,200000,200 thousand,2026,"bitcoin will reach 200 thousand by December 31, 2026",100,0.33
blank,500000,500 thousand,2026,"bitcoin will reach 500 thousand by December 31, 2026",1,0.22
blank,500000,500 thousand,2026,"bitcoin will reach 500 thousand by December 31, 2026",2,0.25
blank,500000,500 thousand,2026,"bitcoin will reach 500 thousand by December 31, 2026",3,0.25
blank,500000,500 thousand,2026,"bitcoin will reach 500 thousand by December 31, 2026",4,0.23
blank,500000,500 thousand,2026,"bitcoin will reach 500 thousand by December 31, 2026",5,0.21
blank,500000,500 thousand,2026,"bitcoin will reach 500 thousand by December 31, 2026",6,0.25
blank,500000,500 thousand,2026,"bitcoin will reach 500 thousand by December 31, 2026",7,0.22
blank,500000,500 thousand,2026,"bitcoin will reach 500 thousand by December 31, 2026",8,0.23
blank,500000,500 thousand,2026,"bitcoin will reach 500 thousand by December 31, 2026",9,0.24
