transition,date,replicate,arm,answer,model
2021,2020-07-03,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-07-03,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-07-13,1,binary_probability,0.1,jev-1.13.0
2025,2024-07-13,1,yes_no_choice,No,jev-1.13.0
2025,2024-07-13,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-05-29,1,binary_probability,0.07,jev-1.13.0
2025,2024-05-29,1,yes_no_choice,No,jev-1.13.0
2025,2024-05-29,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-06-16,1,binary_probability,0.07,jev-1.13.0
2025,2024-06-16,1,yes_no_choice,No,jev-1.13.0
2025,2024-06-16,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-07-04,1,binary_probability,0.02,jev-1.13.0
2021,2021-07-04,1,yes_no_choice,No,jev-1.13.0
2021,2021-07-04,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-03-25,1,binary_probability,0.07,jev-1.13.0
2025,2024-03-25,1,yes_no_choice,No,jev-1.13.0
2025,2024-03-25,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-05-28,1,binary_probability,0.02,jev-1.13.0
2021,2021-05-28,1,yes_no_choice,No,jev-1.13.0
2021,2021-05-28,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-05-06,1,binary_probability,0.98,jev-1.13.0
2021,2020-05-06,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-05-06,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-05-19,1,binary_probability,0.98,jev-1.13.0
2021,2020-05-19,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-05-19,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-01-13,1,binary_probability,0.52,jev-1.13.0
2025,2025-01-13,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-01-13,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-03-27,1,binary_probability,0.98,jev-1.13.0
2021,2020-03-27,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-03-27,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-10-20,1,binary_probability,0.42,jev-1.13.0
2025,2025-10-20,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-10-20,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-06-04,1,binary_probability,0.06,jev-1.13.0
2025,2024-06-04,1,yes_no_choice,No,jev-1.13.0
2025,2024-06-04,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-07-16,1,binary_probability,0.02,jev-1.13.0
2021,2021-07-16,1,yes_no_choice,No,jev-1.13.0
2021,2021-07-16,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-06-05,1,binary_probability,0.98,jev-1.13.0
2021,2020-06-05,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-06-05,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-06-25,1,binary_probability,0.98,jev-1.13.0
2021,2020-06-25,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-06-25,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-10-05,1,binary_probability,0.42,jev-1.13.0
2025,2025-10-05,1,yes_no_choice,No,jev-1.13.0
2025,2025-10-05,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-01-03,1,binary_probability,0.37,jev-1.13.0
2025,2025-01-03,1,yes_no_choice,No,jev-1.13.0
2025,2025-01-03,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-03-28,1,binary_probability,0.99,jev-1.13.0
2021,2020-03-28,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-03-28,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-10-17,1,binary_probability,0.12,jev-1.13.0
2025,2024-10-17,1,yes_no_choice,No,jev-1.13.0
2025,2024-10-17,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-12-18,1,binary_probability,0.96,jev-1.13.0
2021,2020-12-18,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-12-18,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-10-21,1,binary_probability,0.98,jev-1.13.0
2021,2020-10-21,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-10-21,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-09-12,1,binary_probability,0.98,jev-1.13.0
2021,2020-09-12,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-09-12,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-11-03,1,binary_probability,0.33,jev-1.13.0
2025,2024-11-03,1,yes_no_choice,No,jev-1.13.0
2025,2024-11-03,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-10-28,1,binary_probability,0.02,jev-1.13.0
2021,2021-10-28,1,yes_no_choice,No,jev-1.13.0
2021,2021-10-28,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-12-21,1,binary_probability,0.97,jev-1.13.0
2021,2020-12-21,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-12-21,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-05-21,1,binary_probability,0.98,jev-1.13.0
2021,2020-05-21,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-05-21,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-10-08,1,binary_probability,0.47,jev-1.13.0
2025,2025-10-08,1,yes_no_choice,No,jev-1.13.0
2025,2025-10-08,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-03-02,1,binary_probability,0.99,jev-1.13.0
2021,2020-03-02,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-03-02,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-08-21,1,binary_probability,0.02,jev-1.13.0
2021,2021-08-21,1,yes_no_choice,No,jev-1.13.0
2021,2021-08-21,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-02-25,1,binary_probability,0.07,jev-1.13.0
2025,2024-02-25,1,yes_no_choice,No,jev-1.13.0
2025,2024-02-25,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-10-07,1,binary_probability,0.46,jev-1.13.0
2025,2025-10-07,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-10-07,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-11-30,1,binary_probability,0.23,jev-1.13.0
2025,2024-11-30,1,yes_no_choice,No,jev-1.13.0
2025,2024-11-30,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-12-31,1,binary_probability,0.6,jev-1.13.0
2025,2025-12-31,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-12-31,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-07-05,1,binary_probability,0.98,jev-1.13.0
2021,2020-07-05,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-07-05,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-02-05,1,binary_probability,0.99,jev-1.13.0
2021,2020-02-05,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-02-05,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-03-23,1,binary_probability,0.02,jev-1.13.0
2021,2021-03-23,1,yes_no_choice,No,jev-1.13.0
2021,2021-03-23,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-08-30,1,binary_probability,0.47,jev-1.13.0
2025,2025-08-30,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-08-30,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-08-17,1,binary_probability,0.09,jev-1.13.0
2025,2024-08-17,1,yes_no_choice,No,jev-1.13.0
2025,2024-08-17,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-06-29,1,binary_probability,0.98,jev-1.13.0
2021,2020-06-29,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-06-29,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-04-02,1,binary_probability,0.52,jev-1.13.0
2025,2025-04-02,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-04-02,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-01-18,1,binary_probability,0.44,jev-1.13.0
2021,2021-01-18,1,yes_no_choice,Yes,jev-1.13.0
2021,2021-01-18,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-11-01,1,binary_probability,0.97,jev-1.13.0
2021,2020-11-01,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-11-01,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-04-29,1,binary_probability,0.48,jev-1.13.0
2025,2025-04-29,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-04-29,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-01-06,1,binary_probability,0.97,jev-1.13.0
2021,2021-01-06,1,yes_no_choice,Yes,jev-1.13.0
2021,2021-01-06,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-01-24,1,binary_probability,0.98,jev-1.13.0
2021,2020-01-24,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-01-24,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-05-14,1,binary_probability,0.05,jev-1.13.0
2025,2024-05-14,1,yes_no_choice,No,jev-1.13.0
2025,2024-05-14,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-08-05,1,binary_probability,0.02,jev-1.13.0
2021,2021-08-05,1,yes_no_choice,No,jev-1.13.0
2021,2021-08-05,1,who_choice,Joe Biden,jev-1.13.0
2025,2026-01-01,1,binary_probability,0.39,jev-1.13.0
2025,2026-01-01,1,yes_no_choice,Yes,jev-1.13.0
2025,2026-01-01,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-03-02,1,binary_probability,0.08,jev-1.13.0
2025,2024-03-02,1,yes_no_choice,No,jev-1.13.0
2025,2024-03-02,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-05-18,1,binary_probability,0.98,jev-1.13.0
2021,2020-05-18,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-05-18,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-02-11,1,binary_probability,0.7,jev-1.13.0
2025,2025-02-11,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-02-11,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-07-21,1,binary_probability,0.48,jev-1.13.0
2025,2025-07-21,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-07-21,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-06-04,1,binary_probability,0.02,jev-1.13.0
2021,2021-06-04,1,yes_no_choice,No,jev-1.13.0
2021,2021-06-04,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-11-14,1,binary_probability,0.02,jev-1.13.0
2021,2021-11-14,1,yes_no_choice,No,jev-1.13.0
2021,2021-11-14,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-11-17,1,binary_probability,0.02,jev-1.13.0
2021,2021-11-17,1,yes_no_choice,No,jev-1.13.0
2021,2021-11-17,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-02-07,1,binary_probability,0.98,jev-1.13.0
2021,2020-02-07,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-02-07,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-12-11,1,binary_probability,0.3,jev-1.13.0
2025,2024-12-11,1,yes_no_choice,No,jev-1.13.0
2025,2024-12-11,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-12-09,1,binary_probability,0.02,jev-1.13.0
2021,2021-12-09,1,yes_no_choice,No,jev-1.13.0
2021,2021-12-09,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-01-04,1,binary_probability,0.46,jev-1.13.0
2025,2025-01-04,1,yes_no_choice,No,jev-1.13.0
2025,2025-01-04,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-10-07,1,binary_probability,0.13,jev-1.13.0
2025,2024-10-07,1,yes_no_choice,No,jev-1.13.0
2025,2024-10-07,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-07-05,1,binary_probability,0.02,jev-1.13.0
2021,2021-07-05,1,yes_no_choice,No,jev-1.13.0
2021,2021-07-05,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-03-11,1,binary_probability,0.03,jev-1.13.0
2021,2021-03-11,1,yes_no_choice,No,jev-1.13.0
2021,2021-03-11,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-09-22,1,binary_probability,0.02,jev-1.13.0
2021,2021-09-22,1,yes_no_choice,No,jev-1.13.0
2021,2021-09-22,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-11-13,1,binary_probability,0.97,jev-1.13.0
2021,2020-11-13,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-11-13,1,who_choice,Donald Trump,jev-1.13.0
2025,2026-01-20,1,binary_probability,0.49,jev-1.13.0
2025,2026-01-20,1,yes_no_choice,Yes,jev-1.13.0
2025,2026-01-20,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-04-07,1,binary_probability,0.53,jev-1.13.0
2025,2025-04-07,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-04-07,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-02-22,1,binary_probability,0.98,jev-1.13.0
2021,2020-02-22,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-02-22,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-09-11,1,binary_probability,0.98,jev-1.13.0
2021,2020-09-11,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-09-11,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-03-22,1,binary_probability,0.98,jev-1.13.0
2021,2020-03-22,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-03-22,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-01-22,1,binary_probability,0.63,jev-1.13.0
2025,2025-01-22,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-01-22,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-05-09,1,binary_probability,0.06,jev-1.13.0
2025,2024-05-09,1,yes_no_choice,No,jev-1.13.0
2025,2024-05-09,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-06-09,1,binary_probability,0.08,jev-1.13.0
2025,2024-06-09,1,yes_no_choice,No,jev-1.13.0
2025,2024-06-09,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-11-15,1,binary_probability,0.02,jev-1.13.0
2021,2021-11-15,1,yes_no_choice,No,jev-1.13.0
2021,2021-11-15,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-04-29,1,binary_probability,0.06,jev-1.13.0
2025,2024-04-29,1,yes_no_choice,No,jev-1.13.0
2025,2024-04-29,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-07-15,1,binary_probability,0.02,jev-1.13.0
2021,2021-07-15,1,yes_no_choice,No,jev-1.13.0
2021,2021-07-15,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-11-11,1,binary_probability,0.03,jev-1.13.0
2021,2021-11-11,1,yes_no_choice,No,jev-1.13.0
2021,2021-11-11,1,who_choice,Joe Biden,jev-1.13.0
2025,2026-01-13,1,binary_probability,0.49,jev-1.13.0
2025,2026-01-13,1,yes_no_choice,Yes,jev-1.13.0
2025,2026-01-13,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-04-17,1,binary_probability,0.98,jev-1.13.0
2021,2020-04-17,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-04-17,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-08-01,1,binary_probability,0.02,jev-1.13.0
2021,2021-08-01,1,yes_no_choice,No,jev-1.13.0
2021,2021-08-01,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-03-01,1,binary_probability,0.61,jev-1.13.0
2025,2025-03-01,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-03-01,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-10-25,1,binary_probability,0.02,jev-1.13.0
2021,2021-10-25,1,yes_no_choice,No,jev-1.13.0
2021,2021-10-25,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-10-12,1,binary_probability,0.16,jev-1.13.0
2025,2024-10-12,1,yes_no_choice,No,jev-1.13.0
2025,2024-10-12,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-03-24,1,binary_probability,0.07,jev-1.13.0
