mode,asset,instrument,sector,horizon,multiple,n,mean_pct,median_pct,p10_pct,p90_pct,sd_pp
blank,ETH,Ethereum,Crypto control,2035,1000,100,4.9,5.0,4.0,5.0,0.43588989435406733
blank,ETH,Ethereum,Crypto control,no_date,1000,100,2.92,3.0,3.0,3.0,0.2712931993250107
blank,GME,GameStop,Meme-stock probe,2035,2,100,30.83,31.0,30.0,32.0,0.9279547402756239
blank,GME,GameStop,Meme-stock probe,no_date,2,100,32.08,32.0,31.0,33.0,0.9558242516278816
blank,GME,GameStop,Meme-stock probe,2035,10,100,22.44,23.0,21.0,24.0,1.0423051376636308
blank,GME,GameStop,Meme-stock probe,no_date,10,100,16.13,16.0,15.0,17.0,0.8444524853418337
blank,GME,GameStop,Meme-stock probe,2035,100,100,10.43,10.0,10.0,11.0,0.7383088784512889
blank,GME,GameStop,Meme-stock probe,no_date,100,100,8.07,8.0,7.000000000000001,9.0,0.6042350536008315
blank,GME,GameStop,Meme-stock probe,2035,1000,100,8.65,9.0,8.0,9.0,0.6689544080129826
blank,GME,GameStop,Meme-stock probe,no_date,1000,100,6.180000000000001,6.0,6.0,7.000000000000001,0.45563142999578105
blank,JPM,JPMorgan Chase,Financials,2035,2,100,31.98,32.0,31.0,33.0,0.9162968951164246
blank,JPM,JPMorgan Chase,Financials,no_date,2,100,28.22,28.000000000000004,27.0,30.0,1.2694880858046673
blank,JPM,JPMorgan Chase,Financials,2035,10,100,20.79,21.0,19.0,22.0,1.2906974858579372
blank,JPM,JPMorgan Chase,Financials,no_date,10,100,13.05,13.0,11.0,15.0,1.336974195712094
blank,JPM,JPMorgan Chase,Financials,2035,100,100,18.85,19.0,17.0,21.0,1.4239030865898141
blank,JPM,JPMorgan Chase,Financials,no_date,100,100,13.870000000000001,14.000000000000002,12.0,16.0,1.5274488534808621
blank,JPM,JPMorgan Chase,Financials,2035,1000,100,15.17,15.0,14.000000000000002,17.0,1.2251938622112009
blank,JPM,JPMorgan Chase,Financials,no_date,1000,100,12.59,12.5,10.0,15.0,1.732599203508994
blank,LIN,Linde,Materials,2035,2,100,34.04,34.0,33.0,35.0,0.9789790600416334
blank,LIN,Linde,Materials,no_date,2,100,28.419999999999998,28.000000000000004,27.0,30.0,1.001798382909454
blank,LIN,Linde,Materials,2035,10,100,25.76,26.0,24.0,27.0,1.2579348154813115
blank,LIN,Linde,Materials,no_date,10,100,18.03,18.0,16.0,20.0,1.3450278807519196
blank,LIN,Linde,Materials,2035,100,100,24.52,24.0,23.0,26.0,1.126765281680262
blank,LIN,Linde,Materials,no_date,100,100,21.14,21.0,19.0,23.0,1.2963024338479043
blank,LIN,Linde,Materials,2035,1000,100,18.96,19.0,17.0,21.0,1.45547243189282
blank,LIN,Linde,Materials,no_date,1000,100,10.51,11.0,9.0,12.0,0.9746281342132496
blank,LLY,Eli Lilly,Health Care,2035,2,100,26.69,27.0,25.0,28.000000000000004,0.9868637190615538
blank,LLY,Eli Lilly,Health Care,no_date,2,100,19.55,19.0,19.0,21.0,0.9937303457175894
blank,LLY,Eli Lilly,Health Care,2035,10,100,16.81,17.0,15.0,18.0,1.1549458861782225
blank,LLY,Eli Lilly,Health Care,no_date,10,100,12.1,12.0,11.0,13.0,1.0148891565092222
blank,LLY,Eli Lilly,Health Care,2035,100,100,24.34,24.0,23.0,26.0,1.0790736768172968
blank,LLY,Eli Lilly,Health Care,no_date,100,100,18.74,19.0,17.0,21.0,1.411523999087511
blank,LLY,Eli Lilly,Health Care,2035,1000,100,8.05,8.0,7.000000000000001,9.0,0.7262919523166972
blank,LLY,Eli Lilly,Health Care,no_date,1000,100,6.1000000000000005,6.0,5.0,7.000000000000001,0.5916079783099618
blank,META,Meta Platforms,Communication Services,2035,2,100,32.54,32.5,31.0,34.0,1.0141005867269774
blank,META,Meta Platforms,Communication Services,no_date,2,100,30.31,30.0,28.999999999999996,32.0,1.1108105148944176
blank,META,Meta Platforms,Communication Services,2035,10,100,18.08,18.0,17.0,19.0,0.996794863550169
blank,META,Meta Platforms,Communication Services,no_date,10,100,11.34,11.0,10.0,12.0,0.7378346698278687
blank,META,Meta Platforms,Communication Services,2035,100,100,16.29,16.0,15.0,18.0,1.2984221193433203
blank,META,Meta Platforms,Communication Services,no_date,100,100,10.44,10.0,9.0,12.0,0.9090654541890809
blank,META,Meta Platforms,Communication Services,2035,1000,100,14.4,14.000000000000002,13.0,16.0,1.1489125293076055
blank,META,Meta Platforms,Communication Services,no_date,1000,100,9.11,9.0,8.0,10.0,0.7601973427998812
blank,NEE,NextEra Energy,Utilities,2035,2,100,33.98,34.0,33.0,35.0,0.9795917517006766
blank,NEE,NextEra Energy,Utilities,no_date,2,100,29.43,28.999999999999996,28.000000000000004,30.0,0.863191751582463
blank,NEE,NextEra Energy,Utilities,2035,10,100,23.32,23.0,22.0,25.0,1.1651609330903607
blank,NEE,NextEra Energy,Utilities,no_date,10,100,15.25,15.0,14.000000000000002,17.0,1.0234744745229356
blank,NEE,NextEra Energy,Utilities,2035,100,100,7.49,7.000000000000001,7.000000000000001,8.0,0.6244197306299663
blank,NEE,NextEra Energy,Utilities,no_date,100,100,5.45,5.0,5.0,6.0,0.49749371855331
blank,NEE,NextEra Energy,Utilities,2035,1000,100,8.52,8.0,8.0,10.0,0.7934733769950947
blank,NEE,NextEra Energy,Utilities,no_date,1000,100,6.220000000000001,6.0,5.0,7.000000000000001,0.656962708226274
blank,NVDA,NVIDIA,Information Technology,2035,2,100,44.32,44.0,43.0,46.0,1.0571660229122009
blank,NVDA,NVIDIA,Information Technology,no_date,2,100,41.37,41.0,40.0,42.0,0.8325262758616091
blank,NVDA,NVIDIA,Information Technology,2035,10,100,34.08,34.0,33.0,35.0,1.222129289396175
blank,NVDA,NVIDIA,Information Technology,no_date,10,100,28.66,28.999999999999996,28.000000000000004,30.0,0.9404254356406985
blank,NVDA,NVIDIA,Information Technology,2035,100,100,17.79,18.0,17.0,19.0,0.9622369770487933
blank,NVDA,NVIDIA,Information Technology,no_date,100,100,9.62,10.0,9.0,11.0,0.7972452571197899
blank,NVDA,NVIDIA,Information Technology,2035,1000,100,17.74,18.0,16.0,19.0,1.18
blank,NVDA,NVIDIA,Information Technology,no_date,1000,100,12.67,13.0,12.0,14.000000000000002,1.0104949282406126
blank,QQQ,QQQ,Growth benchmark,2035,2,100,41.19,41.0,39.0,43.0,1.2465552534885889
blank,QQQ,QQQ,Growth benchmark,no_date,2,100,32.49,33.0,31.0,34.0,1.0148398888494676
blank,QQQ,QQQ,Growth benchmark,2035,10,100,24.38,24.0,23.0,26.0,1.1205355862265152
blank,QQQ,QQQ,Growth benchmark,no_date,10,100,10.09,10.0,9.0,11.0,0.8496469855181032
blank,QQQ,QQQ,Growth benchmark,2035,100,100,11.58,12.0,10.0,13.0,1.5503547981026797
blank,QQQ,QQQ,Growth benchmark,no_date,100,100,4.56,5.0,4.0,5.0,0.5535341001239219
blank,QQQ,QQQ,Growth benchmark,2035,1000,100,6.2700000000000005,6.0,6.0,7.000000000000001,0.6611353870426242
blank,QQQ,QQQ,Growth benchmark,no_date,1000,100,2.7,3.0,2.0,3.0,0.47958315233127197
blank,SPY,SPY,Broad-market benchmark,2035,2,100,35.05,35.0,33.0,37.0,1.3665650368716449
blank,SPY,SPY,Broad-market benchmark,no_date,2,100,24.51,24.0,23.0,26.0,1.1873921003611234
blank,SPY,SPY,Broad-market benchmark,2035,10,100,20.89,21.0,20.0,22.0,1.1652896635600953
blank,SPY,SPY,Broad-market benchmark,no_date,10,100,9.85,10.0,9.0,11.0,0.9526279441628825
blank,SPY,SPY,Broad-market benchmark,2035,100,100,10.87,11.0,10.0,12.0,1.1717934971657764
blank,SPY,SPY,Broad-market benchmark,no_date,100,100,4.04,4.0,4.0,4.0,0.3720215047547655
blank,SPY,SPY,Broad-market benchmark,2035,1000,100,5.3,5.0,5.0,6.0,0.5
blank,SPY,SPY,Broad-market benchmark,no_date,1000,100,2.87,3.0,2.0,3.0,0.4160528812542944
blank,TSLA,Tesla,Additional high-volatility probe,2035,2,100,38.85,39.0,38.0,40.0,0.7794228634059948
blank,TSLA,Tesla,Additional high-volatility probe,no_date,2,100,33.99,34.0,33.0,35.0,0.9326842981416595
blank,TSLA,Tesla,Additional high-volatility probe,2035,10,100,30.07,30.0,28.999999999999996,31.0,0.9192932067626743
blank,TSLA,Tesla,Additional high-volatility probe,no_date,10,100,22.49,22.5,21.0,24.0,0.9848350115628506
blank,TSLA,Tesla,Additional high-volatility probe,2035,100,100,23.88,24.0,23.0,25.0,1.0225458424931373
blank,TSLA,Tesla,Additional high-volatility probe,no_date,100,100,14.46,14.5,13.0,16.0,1.2199999999999998
blank,TSLA,Tesla,Additional high-volatility probe,2035,1000,100,22.11,22.0,21.0,23.0,1.0573079021741962
blank,TSLA,Tesla,Additional high-volatility probe,no_date,1000,100,13.950000000000001,14.000000000000002,13.0,15.0,0.8411301920630362
blank,WELL,Welltower,Real Estate,2035,2,100,30.259999999999998,30.0,28.999999999999996,32.0,1.119106786683023
blank,WELL,Welltower,Real Estate,no_date,2,100,24.02,24.0,23.0,25.0,0.9795917517006766
blank,WELL,Welltower,Real Estate,2035,10,100,21.27,21.0,20.0,23.0,1.0474254150057654
blank,WELL,Welltower,Real Estate,no_date,10,100,16.09,16.0,15.0,17.0,0.9065870063044141
blank,WELL,Welltower,Real Estate,2035,100,100,16.240000000000002,16.0,14.000000000000002,18.0,1.3499629624548959
blank,WELL,Welltower,Real Estate,no_date,100,100,11.09,11.0,10.0,12.0,0.9390953093270139
blank,WELL,Welltower,Real Estate,2035,1000,100,13.190000000000001,13.0,12.0,14.000000000000002,0.9240670971309394
blank,WELL,Welltower,Real Estate,no_date,1000,100,9.58,10.0,9.0,11.0,0.7896834808959854
blank,WMT,Walmart,Consumer Staples,2035,2,100,42.24,42.0,41.0,43.0,0.8616263691415206
blank,WMT,Walmart,Consumer Staples,no_date,2,100,35.12,35.0,34.0,36.0,0.9086253353280438
blank,WMT,Walmart,Consumer Staples,2035,10,100,26.78,27.0,26.0,28.000000000000004,1.005783276854413
blank,WMT,Walmart,Consumer Staples,no_date,10,100,21.72,22.0,20.0,23.0,1.3862178760930766
blank,WMT,Walmart,Consumer Staples,2035,100,100,9.98,10.0,9.0,11.0,0.9378699270154683
blank,WMT,Walmart,Consumer Staples,no_date,100,100,12.28,12.0,11.0,14.000000000000002,1.400571312000928
blank,WMT,Walmart,Consumer Staples,2035,1000,100,18.37,18.0,17.0,20.0,1.3465140177510222
blank,WMT,Walmart,Consumer Staples,no_date,1000,100,15.89,16.0,14.000000000000002,18.0,1.574134682929005
blank,XOM,Exxon Mobil,Energy,2035,2,100,25.830000000000002,26.0,25.0,27.0,0.9386692708297213
blank,XOM,Exxon Mobil,Energy,no_date,2,100,17.0,17.0,16.0,18.0,0.8831760866327847
blank,XOM,Exxon Mobil,Energy,2035,10,100,7.84,8.0,7.000000000000001,9.0,0.5953150426454883
blank,XOM,Exxon Mobil,Energy,no_date,10,100,6.710000000000001,7.000000000000001,6.0,7.000000000000001,0.6677574409918622
blank,XOM,Exxon Mobil,Energy,2035,100,100,4.14,4.0,4.0,5.0,0.34698703145794946
blank,XOM,Exxon Mobil,Energy,no_date,100,100,3.01,3.0,3.0,3.0,0.09949874371066199
blank,XOM,Exxon Mobil,Energy,2035,1000,100,5.84,6.0,5.0,6.0,0.5238320341483519
blank,XOM,Exxon Mobil,Energy,no_date,1000,100,4.32,4.0,4.0,5.0,0.466476151587624
defined,AMC,AMC Entertainment,Meme-stock probe,2035,2,100,56.36,56.00000000000001,55.00000000000001,57.99999999999999,1.1791522378386896
defined,AMC,AMC Entertainment,Meme-stock probe,no_date,2,100,48.19,48.0,47.0,49.0,0.8449260322655469
defined,AMC,AMC Entertainment,Meme-stock probe,2035,10,100,45.17,45.0,44.0,46.0,0.8837986195961159
defined,AMC,AMC Entertainment,Meme-stock probe,no_date,10,100,39.19,39.0,38.0,40.0,0.8449260322655469
defined,AMC,AMC Entertainment,Meme-stock probe,2035,100,100,21.58,21.0,20.0,23.0,1.2975361266646874
defined,AMC,AMC Entertainment,Meme-stock probe,no_date,100,100,17.15,17.0,16.0,19.0,1.2599603168354152
defined,AMC,AMC Entertainment,Meme-stock probe,2035,1000,100,7.99,8.0,7.000000000000001,9.0,0.5915234568468098
defined,AMC,AMC Entertainment,Meme-stock probe,no_date,1000,100,6.48,6.0,6.0,7.000000000000001,0.5741080037762933
defined,AMZN,Amazon,Consumer Discretionary,2035,2,100,63.02,63.0,62.0,64.0,0.8482924024179399
defined,AMZN,Amazon,Consumer Discretionary,no_date,2,100,50.06,50.0,49.0,51.0,0.9254188241007419
defined,AMZN,Amazon,Consumer Discretionary,2035,10,100,42.74,43.0,41.0,44.0,1.082774214691133
defined,AMZN,Amazon,Consumer Discretionary,no_date,10,100,40.18,40.0,39.0,41.0,1.0332473082471592
defined,AMZN,Amazon,Consumer Discretionary,2035,100,100,25.8,26.0,24.0,28.000000000000004,1.3038404810405304
defined,AMZN,Amazon,Consumer Discretionary,no_date,100,100,19.12,19.0,18.0,21.0,1.4232357499725756
defined,AMZN,Amazon,Consumer Discretionary,2035,1000,100,15.08,15.0,14.000000000000002,16.0,0.9130169768410658
defined,AMZN,Amazon,Consumer Discretionary,no_date,1000,100,12.2,12.0,11.0,13.0,0.9273618495495706
defined,BTC,Bitcoin,Crypto control,2035,2,100,63.42,63.0,62.0,64.0,0.94
defined,BTC,Bitcoin,Crypto control,no_date,2,100,49.31,49.0,48.0,51.0,0.9766780431646859
defined,BTC,Bitcoin,Crypto control,2035,10,100,39.4,39.0,37.0,41.0,1.4142135623730951
defined,BTC,Bitcoin,Crypto control,no_date,10,100,31.78,32.0,30.0,33.0,1.1539497389401325
defined,BTC,Bitcoin,Crypto control,2035,100,100,14.270000000000001,14.000000000000002,13.0,16.0,1.0756858277396795
defined,BTC,Bitcoin,Crypto control,no_date,100,100,11.84,12.0,11.0,13.0,0.8452218643646177
defined,BTC,Bitcoin,Crypto control,2035,1000,100,7.61,8.0,7.000000000000001,8.0,0.646451854355759
defined,BTC,Bitcoin,Crypto control,no_date,1000,100,6.2700000000000005,6.0,6.0,7.000000000000001,0.5450688029964661
defined,CAT,Caterpillar,Industrials,2035,2,100,30.72,31.0,28.999999999999996,32.0,1.2576167937809992
defined,CAT,Caterpillar,Industrials,no_date,2,100,20.68,21.0,20.0,22.0,1.0476640682967036
defined,CAT,Caterpillar,Industrials,2035,10,100,14.48,14.000000000000002,13.0,16.0,1.0998181667894014
defined,CAT,Caterpillar,Industrials,no_date,10,100,8.14,8.0,8.0,9.0,0.6167657578043708
defined,CAT,Caterpillar,Industrials,2035,100,100,6.05,6.0,5.0,7.000000000000001,0.5172040216394304
defined,CAT,Caterpillar,Industrials,no_date,100,100,4.38,4.0,4.0,5.0,0.4853864439804639
defined,CAT,Caterpillar,Industrials,2035,1000,100,3.71,4.0,3.0,4.0,0.4752893855326458
defined,CAT,Caterpillar,Industrials,no_date,1000,100,3.54,4.0,3.0,4.0,0.4983974317750845
defined,ETH,Ethereum,Crypto control,2035,2,100,63.96,64.0,63.0,65.0,0.9891410415102591
defined,ETH,Ethereum,Crypto control,no_date,2,100,50.94,51.0,50.0,52.0,0.8581375181169975
defined,ETH,Ethereum,Crypto control,2035,10,100,50.85,51.0,49.0,52.0,1.2031209415515964
defined,ETH,Ethereum,Crypto control,no_date,10,100,42.55,43.0,41.0,44.0,1.16081867662439
defined,ETH,Ethereum,Crypto control,2035,100,100,25.38,25.0,24.0,27.0,1.3912584231550948
defined,ETH,Ethereum,Crypto control,no_date,100,100,18.77,19.0,17.0,20.0,1.2794920867281674
defined,ETH,Ethereum,Crypto control,2035,1000,100,8.37,8.0,8.0,9.0,0.6878226515607055
defined,ETH,Ethereum,Crypto control,no_date,1000,100,6.49,6.0,6.0,7.000000000000001,0.5915234568468104
defined,GME,GameStop,Meme-stock probe,2035,2,100,49.88,50.0,49.0,51.0,0.8280096617793781
defined,GME,GameStop,Meme-stock probe,no_date,2,100,41.88,42.0,41.0,43.0,0.8749857141690943
defined,GME,GameStop,Meme-stock probe,2035,10,100,35.41,35.0,34.0,37.0,1.0108906963663282
defined,GME,GameStop,Meme-stock probe,no_date,10,100,29.16,28.999999999999996,28.000000000000004,30.0,0.8452218643646171
defined,GME,GameStop,Meme-stock probe,2035,100,100,17.62,18.0,16.0,19.0,1.1025425161870177
defined,GME,GameStop,Meme-stock probe,no_date,100,100,15.07,15.0,14.000000000000002,16.0,1.0223013254417699
defined,GME,GameStop,Meme-stock probe,2035,1000,100,9.45,9.0,9.0,10.0,0.6224949798994366
defined,GME,GameStop,Meme-stock probe,no_date,1000,100,7.98,8.0,7.000000000000001,9.0,0.7208328516376037
defined,JPM,JPMorgan Chase,Financials,2035,2,100,46.9,47.0,45.0,48.0,1.161895003862225
defined,JPM,JPMorgan Chase,Financials,no_date,2,100,30.08,30.0,28.999999999999996,31.0,1.0166612021711074
defined,JPM,JPMorgan Chase,Financials,2035,10,100,21.08,21.0,20.0,22.0,1.092520022699813
defined,JPM,JPMorgan Chase,Financials,no_date,10,100,13.030000000000001,13.0,12.0,14.000000000000002,0.9322553298319087
defined,JPM,JPMorgan Chase,Financials,2035,100,100,10.71,11.0,10.0,12.0,0.8519976525789258
defined,JPM,JPMorgan Chase,Financials,no_date,100,100,6.430000000000001,6.0,6.0,7.000000000000001,0.5523585791856594
defined,JPM,JPMorgan Chase,Financials,2035,1000,100,4.89,5.0,4.0,5.0,0.3973663297261106
defined,JPM,JPMorgan Chase,Financials,no_date,1000,100,5.18,5.0,5.0,6.0,0.4556314299957807
defined,LIN,Linde,Materials,2035,2,100,51.98,52.0,51.0,53.0,0.9795917517006766
defined,LIN,Linde,Materials,no_date,2,100,41.53,42.0,40.0,43.0,1.062591172558854
defined,LIN,Linde,Materials,2035,10,100,34.81,35.0,33.0,36.0,1.1721348045340179
defined,LIN,Linde,Materials,no_date,10,100,25.66,26.0,25.0,27.0,0.9614572273377535
defined,LIN,Linde,Materials,2035,100,100,12.31,12.0,11.0,14.000000000000002,1.0168087332433768
defined,LIN,Linde,Materials,no_date,100,100,9.59,10.0,9.0,11.0,0.7495998932764064
defined,LIN,Linde,Materials,2035,1000,100,5.09,5.0,5.0,6.0,0.4710626285325551
defined,LIN,Linde,Materials,no_date,1000,100,5.5,5.5,5.0,6.0,0.5
defined,LLY,Eli Lilly,Health Care,2035,2,100,40.07,40.0,38.0,42.0,1.2510395677195825
defined,LLY,Eli Lilly,Health Care,no_date,2,100,26.87,27.0,26.0,28.000000000000004,1.0262066068779723
defined,LLY,Eli Lilly,Health Care,2035,10,100,20.49,21.0,19.0,22.0,1.1090085662428402
defined,LLY,Eli Lilly,Health Care,no_date,10,100,12.52,13.0,11.0,14.000000000000002,0.8657944328765348
defined,LLY,Eli Lilly,Health Care,2035,100,100,8.65,9.0,8.0,10.0,0.7664854858377945
defined,LLY,Eli Lilly,Health Care,no_date,100,100,5.34,5.0,5.0,6.0,0.4737087712930805
defined,LLY,Eli Lilly,Health Care,2035,1000,100,4.37,4.0,4.0,5.0,0.48280430818293246
defined,LLY,Eli Lilly,Health Care,no_date,1000,100,4.24,4.0,4.0,5.0,0.4498888751680797
defined,META,Meta Platforms,Communication Services,2035,2,100,44.28,44.0,43.0,46.0,1.105260150371848
defined,META,Meta Platforms,Communication Services,no_date,2,100,35.35,35.0,34.0,37.0,1.0136567466356647
defined,META,Meta Platforms,Communication Services,2035,10,100,29.07,28.999999999999996,28.000000000000004,30.0,1.15112987972687
defined,META,Meta Platforms,Communication Services,no_date,10,100,17.13,17.0,16.0,18.0,0.9343982020530648
defined,META,Meta Platforms,Communication Services,2035,100,100,16.06,16.0,15.0,18.0,1.1560276813294739
defined,META,Meta Platforms,Communication Services,no_date,100,100,9.0,9.0,8.0,10.0,0.6324555320336759
defined,META,Meta Platforms,Communication Services,2035,1000,100,7.61,8.0,7.000000000000001,8.0,0.5638262143604176
defined,META,Meta Platforms,Communication Services,no_date,1000,100,5.97,6.0,5.0,6.0,0.43485629810317816
defined,NEE,NextEra Energy,Utilities,2035,2,100,56.87,56.99999999999999,56.00000000000001,57.99999999999999,1.1283173312503845
defined,NEE,NextEra Energy,Utilities,no_date,2,100,45.78,46.0,45.0,47.0,0.9754998718605759
defined,NEE,NextEra Energy,Utilities,2035,10,100,32.58,32.0,31.0,34.0,1.2504399225872471
defined,NEE,NextEra Energy,Utilities,no_date,10,100,25.79,26.0,25.0,27.0,1.0324243313676797
defined,NEE,NextEra Energy,Utilities,2035,100,100,11.74,12.0,11.0,13.0,0.743236167042482
defined,NEE,NextEra Energy,Utilities,no_date,100,100,9.04,9.0,8.0,10.0,0.63118935352238
defined,NEE,NextEra Energy,Utilities,2035,1000,100,6.3100000000000005,6.0,6.0,7.000000000000001,0.4836320915737503
defined,NEE,NextEra Energy,Utilities,no_date,1000,100,6.180000000000001,6.0,6.0,7.000000000000001,0.47707441767506287
defined,NVDA,NVIDIA,Information Technology,2035,2,100,71.04,71.0,70.0,72.0,0.8475848040166837
defined,NVDA,NVIDIA,Information Technology,no_date,2,100,54.89000000000001,55.00000000000001,54.0,56.00000000000001,1.0187737727287662
defined,NVDA,NVIDIA,Information Technology,2035,10,100,54.13,54.0,53.0,55.00000000000001,1.045514227545472
defined,NVDA,NVIDIA,Information Technology,no_date,10,100,40.97,41.0,40.0,42.0,0.9105492847726586
defined,NVDA,NVIDIA,Information Technology,2035,100,100,35.26,35.0,34.0,37.0,1.3009227494359532
defined,NVDA,NVIDIA,Information Technology,no_date,100,100,21.49,22.0,20.0,23.0,1.34532523948672
defined,NVDA,NVIDIA,Information Technology,2035,1000,100,22.54,23.0,21.0,24.0,1.1697863052711808
defined,NVDA,NVIDIA,Information Technology,no_date,1000,100,14.14,14.000000000000002,13.0,15.0,1.0394229168149025
defined,QQQ,QQQ,Growth benchmark,2035,2,100,56.66,56.99999999999999,55.00000000000001,57.99999999999999,1.1244554237496427
defined,QQQ,QQQ,Growth benchmark,no_date,2,100,42.27,42.0,41.0,43.0,0.8701149349367588
defined,QQQ,QQQ,Growth benchmark,2035,10,100,35.61,36.0,34.0,37.0,1.1823282116231515
defined,QQQ,QQQ,Growth benchmark,no_date,10,100,21.4,21.0,20.0,22.0,0.9273618495495703
defined,QQQ,QQQ,Growth benchmark,2035,100,100,19.89,20.0,18.0,22.0,1.3776429145464364
defined,QQQ,QQQ,Growth benchmark,no_date,100,100,10.72,11.0,10.0,12.0,0.7756287771866127
defined,QQQ,QQQ,Growth benchmark,2035,1000,100,8.55,9.0,8.0,9.0,0.6224949798994366
defined,QQQ,QQQ,Growth benchmark,no_date,1000,100,5.84,6.0,5.0,6.0,0.5425863986500216
defined,SPY,SPY,Broad-market benchmark,2035,2,100,59.42,59.0,57.99999999999999,61.0,1.1591376104673703
defined,SPY,SPY,Broad-market benchmark,no_date,2,100,43.88,44.0,43.0,45.0,1.0322790320451152
defined,SPY,SPY,Broad-market benchmark,2035,10,100,40.58,40.5,39.0,42.0,1.0409610943738483
defined,SPY,SPY,Broad-market benchmark,no_date,10,100,26.3,26.0,25.0,28.000000000000004,1.2369316876852987
defined,SPY,SPY,Broad-market benchmark,2035,100,100,23.11,23.0,21.0,25.0,1.3920847675339314
defined,SPY,SPY,Broad-market benchmark,no_date,100,100,12.32,12.0,11.0,14.000000000000002,0.9152048950918045
