criteria_mode,year,target_usd,question,replicate,p
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",95,0.26
false_only,no_date,1000000,bitcoin will reach 1 million,77,0.25
paired,no_date,1000000,bitcoin will reach 1 million,7,0.4
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",68,0.56
false_only,no_date,1000000,bitcoin will reach 1 million,2,0.26
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",71,0.18
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",30,0.15
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",97,0.39
paired,no_date,100000000,bitcoin will reach 100 million,4,0.34
true_only,no_date,1000000,bitcoin will reach 1 million,99,0.39
omitted,no_date,20000000,bitcoin will reach 20 million,3,0.45
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,25,0.23
true_only,no_date,100000000,bitcoin will reach 100 million,9,0.51
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",85,0.14
empty,no_date,100000000,bitcoin will reach 100 million,21,0.33
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",12,0.55
empty,no_date,1000000,bitcoin will reach 1 million,34,0.15
omitted,no_date,20000000,bitcoin will reach 20 million,57,0.4
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",86,0.19
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,78,0.48
empty,no_date,1000000,bitcoin will reach 1 million,45,0.14
paired,no_date,1000000,bitcoin will reach 1 million,89,0.4
paired,no_date,1000000,bitcoin will reach 1 million,87,0.38
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",64,0.41
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",13,0.55
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",37,0.39
omitted,no_date,100000000,bitcoin will reach 100 million,3,0.35
true_only,no_date,20000000,bitcoin will reach 20 million,60,0.38
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",92,0.12
true_only,no_date,1000000,bitcoin will reach 1 million,34,0.38
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",45,0.45
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",100,0.29
empty,no_date,20000000,bitcoin will reach 20 million,99,0.58
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",74,0.17
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,47,0.16
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",6,0.17
omitted,no_date,20000000,bitcoin will reach 20 million,78,0.42
paired,no_date,20000000,bitcoin will reach 20 million,34,0.41
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",69,0.18
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",31,0.54
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",28,0.26
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",27,0.44
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",60,0.13
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",69,0.44
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",57,0.44
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",21,0.42
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",90,0.15
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",30,0.4
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",5,0.15
paired,no_date,1000000,bitcoin will reach 1 million,73,0.39
true_only,no_date,100000000,bitcoin will reach 100 million,49,0.45
empty,no_date,20000000,bitcoin will reach 20 million,33,0.57
paired,no_date,1000000,bitcoin will reach 1 million,58,0.39
paired,no_date,100000000,bitcoin will reach 100 million,21,0.35
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",81,0.42
true_only,no_date,20000000,bitcoin will reach 20 million,97,0.38
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",22,0.4
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",31,0.41
true_only,no_date,100000000,bitcoin will reach 100 million,86,0.44
true_only,no_date,100000000,bitcoin will reach 100 million,65,0.48
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",90,0.46
paired,no_date,20000000,bitcoin will reach 20 million,33,0.41
paired,no_date,100000000,bitcoin will reach 100 million,74,0.33
omitted,no_date,1000000,bitcoin will reach 1 million,32,0.13
empty,no_date,100000000,bitcoin will reach 100 million,69,0.34
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",53,0.26
false_only,no_date,100000000,bitcoin will reach 100 million,95,0.43
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",96,0.4
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",18,0.55
paired,no_date,20000000,bitcoin will reach 20 million,12,0.39
omitted,no_date,100000000,bitcoin will reach 100 million,23,0.37
false_only,no_date,1000000,bitcoin will reach 1 million,1,0.28
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",96,0.39
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,38,0.47
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",7,0.44
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",35,0.18
true_only,no_date,20000000,bitcoin will reach 20 million,36,0.38
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",60,0.48
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",64,0.41
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",6,0.45
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,57,0.2
omitted,no_date,20000000,bitcoin will reach 20 million,72,0.42
false_only,no_date,100000000,bitcoin will reach 100 million,61,0.41
true_only,no_date,100000000,bitcoin will reach 100 million,10,0.44
false_only,no_date,100000000,bitcoin will reach 100 million,54,0.41
omitted,no_date,1000000,bitcoin will reach 1 million,19,0.13
false_only,no_date,1000000,bitcoin will reach 1 million,78,0.27
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",48,0.4
empty,no_date,20000000,bitcoin will reach 20 million,67,0.59
omitted,no_date,100000000,bitcoin will reach 100 million,20,0.35
paired,no_date,20000000,bitcoin will reach 20 million,60,0.4
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",78,0.14
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",12,0.23
paired,no_date,100000000,bitcoin will reach 100 million,59,0.38
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",3,0.38
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",58,0.39
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",81,0.24
empty,no_date,1000000,bitcoin will reach 1 million,77,0.14
omitted,no_date,100000000,bitcoin will reach 100 million,84,0.34
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",81,0.15
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",56,0.28
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",6,0.54
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",1,0.3
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",59,0.16
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",80,0.45
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,83,0.19
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",56,0.35
omitted,no_date,20000000,bitcoin will reach 20 million,20,0.44
true_only,no_date,20000000,bitcoin will reach 20 million,68,0.41
paired,no_date,20000000,bitcoin will reach 20 million,35,0.41
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",63,0.59
false_only,no_date,1000000,bitcoin will reach 1 million,51,0.29
empty,no_date,1000000,bitcoin will reach 1 million,68,0.12
paired,no_date,100000000,bitcoin will reach 100 million,98,0.35
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",26,0.43
true_only,no_date,1000000,bitcoin will reach 1 million,72,0.38
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",48,0.41
omitted,no_date,100000000,bitcoin will reach 100 million,88,0.36
paired,no_date,1000000,bitcoin will reach 1 million,68,0.38
paired,no_date,20000000,bitcoin will reach 20 million,31,0.41
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",32,0.38
paired,no_date,20000000,bitcoin will reach 20 million,16,0.4
empty,no_date,1000000,bitcoin will reach 1 million,16,0.15
true_only,no_date,20000000,bitcoin will reach 20 million,78,0.4
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",93,0.16
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",47,0.37
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",46,0.14
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",55,0.59
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",92,0.55
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,70,0.22
true_only,no_date,1000000,bitcoin will reach 1 million,83,0.41
omitted,no_date,1000000,bitcoin will reach 1 million,17,0.13
omitted,no_date,100000000,bitcoin will reach 100 million,53,0.37
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",8,0.54
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",57,0.13
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,99,0.2
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",45,0.61
false_only,no_date,20000000,bitcoin will reach 20 million,17,0.37
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",9,0.18
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",72,0.39
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",34,0.14
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",5,0.13
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",53,0.18
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",82,0.26
omitted,no_date,1000000,bitcoin will reach 1 million,12,0.11
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",25,0.41
paired,no_date,20000000,bitcoin will reach 20 million,83,0.4
omitted,no_date,20000000,bitcoin will reach 20 million,75,0.44
paired,no_date,1000000,bitcoin will reach 1 million,100,0.41
paired,no_date,20000000,bitcoin will reach 20 million,97,0.4
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,40,0.23
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",67,0.28
false_only,no_date,100000000,bitcoin will reach 100 million,67,0.43
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",98,0.14
false_only,no_date,1000000,bitcoin will reach 1 million,37,0.25
empty,no_date,1000000,bitcoin will reach 1 million,61,0.14
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",52,0.26
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,90,0.23
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,64,0.22
paired,no_date,100000000,bitcoin will reach 100 million,94,0.36
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",57,0.38
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",95,0.43
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,100,0.25
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",80,0.25
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",5,0.42
true_only,no_date,20000000,bitcoin will reach 20 million,46,0.39
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",43,0.36
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",99,0.38
false_only,no_date,20000000,bitcoin will reach 20 million,82,0.41
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",87,0.13
omitted,no_date,20000000,bitcoin will reach 20 million,98,0.47
empty,no_date,100000000,bitcoin will reach 100 million,58,0.3
false_only,no_date,100000000,bitcoin will reach 100 million,63,0.43
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",9,0.57
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",57,0.57
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",62,0.41
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",53,0.63
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,39,0.45
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",4,0.63
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",83,0.32
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",99,0.33
omitted,no_date,1000000,bitcoin will reach 1 million,95,0.14
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",22,0.18
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",10,0.54
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,90,0.46
true_only,no_date,100000000,bitcoin will reach 100 million,37,0.46
false_only,no_date,1000000,bitcoin will reach 1 million,72,0.27
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",99,0.26
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",55,0.39
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",99,0.41
paired,no_date,20000000,bitcoin will reach 20 million,84,0.41
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",95,0.2
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",92,0.27
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,98,0.24
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",59,0.32
empty,no_date,20000000,bitcoin will reach 20 million,79,0.58
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",57,0.4
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",76,0.4
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",69,0.16
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",14,0.44
false_only,no_date,20000000,bitcoin will reach 20 million,3,0.41
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",9,0.6
omitted,no_date,100000000,bitcoin will reach 100 million,6,0.36
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",34,0.45
true_only,no_date,1000000,bitcoin will reach 1 million,88,0.4
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",13,0.13
omitted,no_date,20000000,bitcoin will reach 20 million,61,0.46
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",87,0.6
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",31,0.63
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",37,0.54
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",83,0.14
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",100,0.14
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,44,0.2
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",38,0.17
paired,no_date,100000000,bitcoin will reach 100 million,9,0.32
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",14,0.27
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,60,0.45
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",49,0.56
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",89,0.43
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",95,0.27
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,61,0.19
false_only,no_date,100000000,bitcoin will reach 100 million,64,0.42
empty,no_date,1000000,bitcoin will reach 1 million,23,0.13
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",64,0.39
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",48,0.26
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",17,0.45
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,89,0.46
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",77,0.46
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",31,0.39
omitted,no_date,100000000,bitcoin will reach 100 million,97,0.35
paired,no_date,20000000,bitcoin will reach 20 million,26,0.38
true_only,no_date,1000000,bitcoin will reach 1 million,40,0.39
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,35,0.21
false_only,no_date,1000000,bitcoin will reach 1 million,3,0.27
true_only,no_date,100000000,bitcoin will reach 100 million,5,0.48
false_only,no_date,100000000,bitcoin will reach 100 million,99,0.42
empty,no_date,1000000,bitcoin will reach 1 million,18,0.12
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",71,0.41
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",45,0.4
empty,no_date,1000000,bitcoin will reach 1 million,71,0.14
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",20,0.45
true_only,no_date,100000000,bitcoin will reach 100 million,88,0.46
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",79,0.18
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",6,0.6
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",25,0.61
omitted,no_date,100000000,bitcoin will reach 100 million,61,0.35
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",66,0.33
true_only,no_date,100000000,bitcoin will reach 100 million,75,0.48
false_only,no_date,20000000,bitcoin will reach 20 million,64,0.44
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",26,0.41
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",25,0.27
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,58,0.18
false_only,no_date,20000000,bitcoin will reach 20 million,37,0.43
paired,no_date,1000000,bitcoin will reach 1 million,95,0.4
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",51,0.39
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,76,0.21
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",30,0.23
empty,no_date,1000000,bitcoin will reach 1 million,30,0.14
omitted,no_date,100000000,bitcoin will reach 100 million,15,0.37
omitted,no_date,1000000,bitcoin will reach 1 million,22,0.11
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",92,0.21
empty,no_date,100000000,bitcoin will reach 100 million,81,0.34
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",58,0.14
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",3,0.41
paired,no_date,1000000,bitcoin will reach 1 million,10,0.41
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",30,0.37
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",43,0.22
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,80,0.16
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,35,0.47
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",54,0.12
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",19,0.43
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",88,0.53
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",63,0.41
paired,no_date,1000000,bitcoin will reach 1 million,84,0.4
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",93,0.26
empty,no_date,100000000,bitcoin will reach 100 million,5,0.37
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",18,0.18
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",68,0.4
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",86,0.63
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",39,0.41
omitted,no_date,20000000,bitcoin will reach 20 million,2,0.43
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",51,0.41
omitted,no_date,1000000,bitcoin will reach 1 million,9,0.11
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",68,0.24
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",92,0.15
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",81,0.17
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",15,0.46
omitted,no_date,100000000,bitcoin will reach 100 million,36,0.38
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",34,0.42
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,92,0.43
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",46,0.2
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",98,0.39
true_only,no_date,100000000,bitcoin will reach 100 million,25,0.47
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",21,0.57
paired,no_date,20000000,bitcoin will reach 20 million,21,0.37
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",7,0.15
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",11,0.26
false_only,no_date,1000000,bitcoin will reach 1 million,62,0.23
paired,no_date,1000000,bitcoin will reach 1 million,64,0.4
empty,no_date,20000000,bitcoin will reach 20 million,45,0.6
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",79,0.28
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",16,0.46
empty,no_date,100000000,bitcoin will reach 100 million,66,0.35
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",8,0.26
omitted,no_date,100000000,bitcoin will reach 100 million,73,0.37
